class_id,label,number_of_videos,number_of_signers,selected,reason_if_excluded
monday,monday,13,unavailable,False,only 13 usable videos (< 15)
thursday,thursday,11,unavailable,False,only 11 usable videos (< 15)
interest,interest,10,unavailable,False,only 10 usable videos (< 15)
pencil,pencil,9,unavailable,False,only 9 usable videos (< 15)
friday,friday,9,unavailable,False,only 9 usable videos (< 15)
mother,mother,8,unavailable,False,only 8 usable videos (< 15)
yellow,yellow,8,unavailable,False,only 8 usable videos (< 15)
tuesday,tuesday,8,unavailable,False,only 8 usable videos (< 15)
christmas,christmas,8,unavailable,False,only 8 usable videos (< 15)
bill,bill,7,unavailable,False,only 7 usable videos (< 15)
angry,angry,7,unavailable,False,only 7 usable videos (< 15)
light,light,7,unavailable,False,only 7 usable videos (< 15)
sunday,sunday,7,unavailable,False,only 7 usable videos (< 15)
name,name,7,unavailable,False,only 7 usable videos (< 15)
iron,iron,7,unavailable,False,only 7 usable videos (< 15)
increase,increase,7,unavailable,False,only 7 usable videos (< 15)
india,india,7,unavailable,False,only 7 usable videos (< 15)
rubber,rubber,7,unavailable,False,only 7 usable videos (< 15)
wash,wash,7,unavailable,False,only 7 usable videos (< 15)
wednesday,wednesday,7,unavailable,False,only 7 usable videos (< 15)
date,date,7,unavailable,False,only 7 usable videos (< 15)
august,august,7,unavailable,False,only 7 usable videos (< 15)
reservation,reservation,6,unavailable,False,only 6 usable videos (< 15)
cat,cat,6,unavailable,False,only 6 usable videos (< 15)
grow,grow,6,unavailable,False,only 6 usable videos (< 15)
duck,duck,6,unavailable,False,only 6 usable videos (< 15)
good,good,6,unavailable,False,only 6 usable videos (< 15)
week,week,6,unavailable,False,only 6 usable videos (< 15)
goat,goat,6,unavailable,False,only 6 usable videos (< 15)
sick,sick,6,unavailable,False,only 6 usable videos (< 15)
ant,ant,6,unavailable,False,only 6 usable videos (< 15)
month,month,6,unavailable,False,only 6 usable videos (< 15)
thank you,thank you,6,unavailable,False,only 6 usable videos (< 15)
leaf,leaf,6,unavailable,False,only 6 usable videos (< 15)
land,land,6,unavailable,False,only 6 usable videos (< 15)
hot,hot,6,unavailable,False,only 6 usable videos (< 15)
bad,bad,6,unavailable,False,only 6 usable videos (< 15)
brain,brain,6,unavailable,False,only 6 usable videos (< 15)
saturday,saturday,6,unavailable,False,only 6 usable videos (< 15)
gujarat,gujarat,5,unavailable,False,only 5 usable videos (< 15)
volcano,volcano,5,unavailable,False,only 5 usable videos (< 15)
air,air,5,unavailable,False,only 5 usable videos (< 15)
promotion,promotion,5,unavailable,False,only 5 usable videos (< 15)
projector,projector,5,unavailable,False,only 5 usable videos (< 15)
september,september,5,unavailable,False,only 5 usable videos (< 15)
evening,evening,5,unavailable,False,only 5 usable videos (< 15)
buffalo,buffalo,5,unavailable,False,only 5 usable videos (< 15)
knife,knife,5,unavailable,False,only 5 usable videos (< 15)
cold,cold,5,unavailable,False,only 5 usable videos (< 15)
area,area,5,unavailable,False,only 5 usable videos (< 15)
orange,orange,5,unavailable,False,only 5 usable videos (< 15)
kitchen,kitchen,5,unavailable,False,only 5 usable videos (< 15)
triangle,triangle,5,unavailable,False,only 5 usable videos (< 15)
tall,tall,5,unavailable,False,only 5 usable videos (< 15)
tortoise,tortoise,5,unavailable,False,only 5 usable videos (< 15)
praise,praise,5,unavailable,False,only 5 usable videos (< 15)
hard,hard,5,unavailable,False,only 5 usable videos (< 15)
understand,understand,5,unavailable,False,only 5 usable videos (< 15)
socks,socks,5,unavailable,False,only 5 usable videos (< 15)
bell,bell,5,unavailable,False,only 5 usable videos (< 15)
january,january,5,unavailable,False,only 5 usable videos (< 15)
calculator,calculator,5,unavailable,False,only 5 usable videos (< 15)
address,address,5,unavailable,False,only 5 usable videos (< 15)
form,form,5,unavailable,False,only 5 usable videos (< 15)
year,year,5,unavailable,False,only 5 usable videos (< 15)
adult,adult,5,unavailable,False,only 5 usable videos (< 15)
capital,capital,5,unavailable,False,only 5 usable videos (< 15)
clever,clever,5,unavailable,False,only 5 usable videos (< 15)
pain,pain,5,unavailable,False,only 5 usable videos (< 15)
order,order,5,unavailable,False,only 5 usable videos (< 15)
pen,pen,5,unavailable,False,only 5 usable videos (< 15)
lie,lie,5,unavailable,False,only 5 usable videos (< 15)
next,next,5,unavailable,False,only 5 usable videos (< 15)
right,right,5,unavailable,False,only 5 usable videos (< 15)
day,day,5,unavailable,False,only 5 usable videos (< 15)
