uid,gloss,duration,category
--7-rCNOiK0_1,branch,6,flora and fauna
-02y2VaVBmw,divorce petition,11,legal
-03Dju3yPHE,air conditioner,5,machine
-0Oo1kPonYQ,stapoo,6,sport
-0XujLX2_9I_2,application,6,action
-0gxfDidW6U,purple flowered plants,11,flora and fauna
-1AseGWh7vU,school uniform,4,wearable
-1aXmLMzHUI_1,squeeze,7,action
-2_NUxX4PVA_2,electrical energy,9,physics
-2iGhOnza38_1,raid,7,event
-37kn1vV9gc_1,defend,5,action
-3db5Hhn4mI_1,win,5,comparator
-4MbWP5T-cU,thank you,3,gesture
-5QTvDlGTcs_1,preliminary,7,attribute
-5lgXJQG0EM_1,doctor,7,profession
-5p4hn8J87A_2,hour,7,time
-65ryXubYjo,testify,14,action
-7IkPH6iIQA,uncle,3,relation
-8CjLUfRlbw_1,pig,7,flora and fauna
-A1P5WbuNo8,ladder,6,transport
-AvE2V_2a-c_1,cup,6,utility item
-C18cQCkCcw,pencil,4,utility item
-DDBcacIfeA_1,cosmetics,7,substance
-DHtnmdlaGk,agra,5,geography
-DsyH0Vd_7E,halter top,11,wearable
-E1n5hTjako_1,compact disc,8,computer
-EGNTwA_sEE_1,land acquisition,9,legal
-Em79Yvwac4_1,think,7,action
-F7HjAaemJU,sexual reproduction,13,biology
-HOXFEzH00I_1,circus,6,entertainment
-H_VzAnfyKk,coconut,4,foods and drinks
-I0sjwzg0tY_2,amplitude,15,physics
-IInvCVJXas,mushroom production,7,process
-IKgn_mGZrw_2,immiscibility,8,attribute
-It9bwqowig,twitter,4,internet
-JYukZxN6wQ_1,ugly,7,quality
-JcpfOHc0nE,blood pressure,6,medical
-Jr9EZz7Epo_1,eclipse,7,event
-Lnou_Pop1o,reservation,13,group
-MS1EdYqs48,gujarat,5,geography
-MjxNEvHUFw,rollerpaint,8,instrument
-N-gNuk_5PQ_1,unencumbered,8,banking
-NAB02gnpgo,polo shrit,6,wearable
-NCwiz-skM0_1,lame,7,biology
-NIz596Y27Q,severally,7,quantity
-NIz596Y27Q_1,severally,7,quantity
-NQKa7Pmhx4,nine,4,math
-NXGOOSb2sk,increase,5,comparator
-NpA8OS_Oj0_1,tennis,6,sport
-Oq_e89164c_1,deer,7,flora and fauna
-PFwmd8NQgI_1,fixed rate,7,banking
-PGXFLhDfS0_1,teacher,6,profession
-QF3_AuexYY,yolk,8,foods and drinks
-R02rqkyxHc_1,can,6,attribute
-RTVD5tM__A_1,hot,6,sensation
-SVSp2VtfRw_1,tired,7,sensation
-Sbg5dqo9cQ_1,undertaking,10,legal
-Tfg5XTzi0c_1,complaint,7,process
-UjDGBnJuQE,basic,5,quality
-V3IfRctpxQ_1,kilometer,7,metric
-VvuJx-TroA_1,day after,6,time
-W13ICFg13E,calendar year,12,time
-WuiIyEI6JU_1,prospectus,7,utility item
-XHIq_olkt0,ripe,5,quality
-ZJNHmctH-g_2,neutral,10,physics
-_axtLgdFao_1,diaeases,8,medical
-_ecaCc5kEM_1,par - above,8,comparator
-_ozohdfbV0,arrest,3,legal
-ayQ9-eEVPk,rafter,15,construction
-bUi5WuO58M_1,negligence,9,attribute
-cw3ySwZG-0_1,trouble,7,stage
-erR2LqPMDo_1,insects,7,flora and fauna
-i21y0g32n8,family tree,14,group
-i5XH3VNyZc_1,cobbler,7,profession
-j9UB4-TMdw,blouse,6,wearable
-js9xT4ze2M_1,difference,8,comparator
-kAnMQUsNqY,cancel,5,action
-kNkN1zSAfc,sometimes,4,abstract
-mGXVBz8pfs_1,criticize,6,action
-nITY8LhYgc,iron,5,metal and minerals
-ntsKq84BZI_2,statlonary wave,10,physics
-oJL0D3n2e0,best,3,quality
-oLpcbfuNIc_2,speclfic heat,8,physics
-oy6L89CeWU_1,cry,7,behavior
-p-Uj-p_Gso,see you tomorrow,4,greeting
-pH80nLq8FY,table tennis,5,sport
-pOaEEbLhEY_1,invent,6,process
-pc9BOR8QtA,panaji,4,geography
-qAGBp1JAh4_1,ruler,6,utility item
-qEvxlqG6xs_1,taxable,9,legal
-qhN2FaYkUc,anonymous,4,abstract
-qzWfnV26kw_1,with,6,abstract
-rahbCV2Pp4,understand,4,action
-rwYVwVdHns_1,trust deed,8,banking
-s7h4Re7Atk_1,residence,9,construction
-syzD8b7Uog,fork,5,utility item
-tXNpnzr08M,hack saw blade,7,instrument
-vcgtHff_po,motivate,4,action
-wpVNpcGvFk,yellow flowered plants,11,attribute
-x6DzWY7lmk,united nations,5,organisation
-x6oHEcUExQ,subtract,4,math
-xNmG6y1-9E,air vistara,6,transport
-y-dWznF2js_1,rough,7,sensation
0-pxIcGvk3w,brown,7,attribute
01THMylW6Mw,lok janshakti party,4,politics
01UZKDp47Ao_1,boil,6,action
039-5dIML0I_2,depth,9,attribute
03N4I9dc3RQ_1,spendthrift,7,action
03UqtTd9opc,pani puri,5,foods and drinks
04qLwQo-2MM,what is your name,4,abstract
06C4S0EBhBg_1,average,9,math
06FBQEEqthQ_1,seizure,10,medical
06lnhzFJMgo,idle talk,4,process
06tYXs9inPk_1,branch,6,flora and fauna
07jCt4FqQxY,method,5,math
08E4Dr0zyKk_2,difference,7,comparator
08z_-ESgSP0,bucket,5,utility item
09G-3IZyKrI_1,judge,6,authority
09qovLrSjow_1,whale,8,flora and fauna
0AH93vop9YA_1,frock,8,wearable
0AUmueBrflo,notesheet,5,utility item
0AW9acHJhNI,bharatiya janata party,3,politics
0BC8wWXW_wc,driver,5,profession
0BOyMqB1KUQ_1,accommodation,11,construction
0C-nMsdpftw,designer,11,profession
0CUyYc1R3OA,colombia,4,geography
0CvaaVM5mNs,leaders,14,authority
0DYb-qL1t0A,tomorrow,3,time
0DYcaZmhlkY,weather,7,weather
0E2yd3OjjsU,movie,4,entertainment
0EQEGldp9YA_1,footpath,7,construction
0ETSwMTLaac_2,attractive force,9,physics
0F7sYNf4uxU,put,4,action
0FHckg-WrEo,diving,5,sport
0F_szwrQs1g_2,artificial,8,abstract
0G7Xo4NN4fk,polisher,14,profession
0GYeM3IGjn8_1,school bus,6,transport
0HNvZZloffc_1,light,6,quantity
0IF3Nx6idPQ_1,zonal,9,geography
0IQ02IKMzUk_1,torch,7,electronic and electrical
0IhvPwnhGOg,national capital region,5,geography
0JIsxA88oss_2,grey,9,colour
0Kcn-1OPd84,reverse,3,abstract
0KeSJQiRAgo_1,coolie,6,profession
0LXJqXx8dVU,sari,4,wearable
0N47JPzl2Ow_1,adjustment,11,metric
0NMbSbEZ7G8_1,disappear,5,action
0NPpa4rNMoI_1,input,8,process
0NUyw07V03g,promotion,4,organisation
0O7xxbvMct0,institution,7,organisation
0OMlCdUKFSg,backdoor,4,miscellaneous object
0OxY1muGJhc,godet,14,wearable
0PKQWh0-C8o,slip,4,action
0PQM_cS1Jyg_1,funny,7,sensation
0PwKF0pTwpg,receipt,6,banking
0QITb6bNnHc,hearing,4,sound
0Qk8-_ZEmHM_2,precaution,7,abstract
0R6qq874H4c,propeller pump,15,instrument
0REGTy6eqSc,team,4,group
0RIpHMSqV4c,bank of maharashtra,4,banking
0RiCicL3Zg8_1,interest,9,banking
0RlsG9iQ6rk_1,window dressing,8,banking
0TGJCFJv2iU,mahavir jayanti,4,event
0ThvAhpHsDM,squirrel,4,flora and fauna
0UyMbBSxbM4,minority,4,group
0VSRJo2xZfI,breeds of poultry,11,flora and fauna
0VvmrIYSsR0_1,marth,6,human
0Xhmme0IrvU,mature,13,behavior
0YIk1iTjDVY_1,monday,6,time
0ZMXZUybS9M_1,until,6,time
0_3gIUNTp8U,translate,4,action
0_aBnLgwYuk,backdate,4,time
0_dU4pT_Ch4,conference,5,group
0cLdo9cL7y4,full stomach,5,sensation
0dz5Em9gsjk,sacrifice,4,action
0eCFVHc06YA_1,bell,5,miscellaneous object
0eNooDbmED4,oviparous,13,biology
0egx6MUyz0w,exporting graphics,15,computer
0fKqgIRvg-8,jharkhand,5,geography
0fO9xNyE9eU_1,obedience,7,behavior
0fdRLmUIlZE_2,indigo,10,colour
0ggPraT35p0,ranveer singh,4,human
0hEQ8ufcIQU,amritsar,4,geography
0hZluINun1Y,paraguay,3,geography
0hhs7A5uf3E,vision,4,abstract
0hkuayZghpM_1,circle,11,math
0i1qCUd3BdM_1,increase,8,comparator
0ijcVXYEvY8_2,tldal energy,9,physics
0klM2u7dV9M,aam aadmi party,4,politics
0kr-oJWV_wI_2,circular motion,11,physics
0lrX7s_3ScY,bowled out,4,sport
0ly7tC51g_o_1,sundry debtors,9,group
0msmxYxchSc,meditate,7,action
0nJrw8f2FLs_1,scold,6,action
0nVI2GBhbUQ_1,particulars,10,attribute
0n_FeKAXjUI,manage,4,action
0oJ_jMGRJCE,roof garden,8,construction
0oWHR36xnT8_1,this,5,relation
0p_iET-2TRw,pencil,4,utility item
0q7mwfrGneM_1,monday,5,time
