uid,gloss,duration,category,video_path,official_partition
--7-rCNOiK0_1,branch,6.0,flora and fauna,CISLR_v1.5-a_videos/--7-rCNOiK0_1.mp4,prototype
-02y2VaVBmw,divorce petition,11.0,legal,CISLR_v1.5-a_videos/-02y2VaVBmw.mp4,prototype
-03Dju3yPHE,air conditioner,5.0,machine,CISLR_v1.5-a_videos/-03Dju3yPHE.mp4,prototype
-0Oo1kPonYQ,stapoo,6.0,sport,CISLR_v1.5-a_videos/-0Oo1kPonYQ.mp4,prototype
-0XujLX2_9I_2,application,6.0,action,CISLR_v1.5-a_videos/-0XujLX2_9I_2.mp4,prototype
-0gxfDidW6U,purple flowered plants,11.0,flora and fauna,CISLR_v1.5-a_videos/-0gxfDidW6U.mp4,prototype
-1AseGWh7vU,school uniform,4.0,wearable,CISLR_v1.5-a_videos/-1AseGWh7vU.mp4,prototype
-1aXmLMzHUI_1,squeeze,7.0,action,CISLR_v1.5-a_videos/-1aXmLMzHUI_1.mp4,prototype
-2_NUxX4PVA_2,electrical energy,9.0,physics,CISLR_v1.5-a_videos/-2_NUxX4PVA_2.mp4,prototype
-2iGhOnza38_1,raid,7.0,event,CISLR_v1.5-a_videos/-2iGhOnza38_1.mp4,prototype
-37kn1vV9gc_1,defend,5.0,action,CISLR_v1.5-a_videos/-37kn1vV9gc_1.mp4,prototype
-3db5Hhn4mI_1,win,5.0,comparator,CISLR_v1.5-a_videos/-3db5Hhn4mI_1.mp4,prototype
-4MbWP5T-cU,thank you,3.0,gesture,CISLR_v1.5-a_videos/-4MbWP5T-cU.mp4,prototype
-5QTvDlGTcs_1,preliminary,7.0,attribute,CISLR_v1.5-a_videos/-5QTvDlGTcs_1.mp4,prototype
-5lgXJQG0EM_1,doctor,7.0,profession,CISLR_v1.5-a_videos/-5lgXJQG0EM_1.mp4,prototype
-5p4hn8J87A_2,hour,7.0,time,CISLR_v1.5-a_videos/-5p4hn8J87A_2.mp4,prototype
-65ryXubYjo,testify,14.0,action,CISLR_v1.5-a_videos/-65ryXubYjo.mp4,prototype
-7IkPH6iIQA,uncle,3.0,relation,CISLR_v1.5-a_videos/-7IkPH6iIQA.mp4,prototype
-8CjLUfRlbw_1,pig,7.0,flora and fauna,CISLR_v1.5-a_videos/-8CjLUfRlbw_1.mp4,prototype
-A1P5WbuNo8,ladder,6.0,transport,CISLR_v1.5-a_videos/-A1P5WbuNo8.mp4,prototype
-AvE2V_2a-c_1,cup,6.0,utility item,CISLR_v1.5-a_videos/-AvE2V_2a-c_1.mp4,prototype
-C18cQCkCcw,pencil,4.0,utility item,CISLR_v1.5-a_videos/-C18cQCkCcw.mp4,prototype
-DDBcacIfeA_1,cosmetics,7.0,substance,CISLR_v1.5-a_videos/-DDBcacIfeA_1.mp4,prototype
-DHtnmdlaGk,agra,5.0,geography,CISLR_v1.5-a_videos/-DHtnmdlaGk.mp4,prototype
-DsyH0Vd_7E,halter top,11.0,wearable,CISLR_v1.5-a_videos/-DsyH0Vd_7E.mp4,prototype
