uid,gloss,duration,category
--7-rCNOiK0_1,branch,6.0,flora and fauna
-02y2VaVBmw,divorce petition,11.0,legal
-03Dju3yPHE,air conditioner,5.0,machine
-0Oo1kPonYQ,stapoo,6.0,sport
-0XujLX2_9I_2,application,6.0,action
-0gxfDidW6U,purple flowered plants,11.0,flora and fauna
-1AseGWh7vU,school uniform,4.0,wearable
-1aXmLMzHUI_1,squeeze,7.0,action
-2_NUxX4PVA_2,electrical energy,9.0,physics
-2iGhOnza38_1,raid,7.0,event
-37kn1vV9gc_1,defend,5.0,action
-3db5Hhn4mI_1,win,5.0,comparator
-4MbWP5T-cU,thank you,3.0,gesture
-5QTvDlGTcs_1,preliminary,7.0,attribute
-5lgXJQG0EM_1,doctor,7.0,profession
-5p4hn8J87A_2,hour,7.0,time
-65ryXubYjo,testify,14.0,action
-7IkPH6iIQA,uncle,3.0,relation
-8CjLUfRlbw_1,pig,7.0,flora and fauna
-A1P5WbuNo8,ladder,6.0,transport
-AvE2V_2a-c_1,cup,6.0,utility item
-C18cQCkCcw,pencil,4.0,utility item
-DDBcacIfeA_1,cosmetics,7.0,substance
-DHtnmdlaGk,agra,5.0,geography
-DsyH0Vd_7E,halter top,11.0,wearable
-E1n5hTjako_1,compact disc,8.0,computer
-EGNTwA_sEE_1,land acquisition,9.0,legal
-Em79Yvwac4_1,think,7.0,action
-F7HjAaemJU,sexual reproduction,13.0,biology
-HOXFEzH00I_1,circus,6.0,entertainment
-H_VzAnfyKk,coconut,4.0,foods and drinks
-I0sjwzg0tY_2,amplitude,15.0,physics
-IInvCVJXas,mushroom production,7.0,process
-IKgn_mGZrw_2,immiscibility,8.0,attribute
-It9bwqowig,twitter,4.0,internet
-JYukZxN6wQ_1,ugly,7.0,quality
-JcpfOHc0nE,blood pressure,6.0,medical
-Jr9EZz7Epo_1,eclipse,7.0,event
-Lnou_Pop1o,reservation,13.0,group
-MS1EdYqs48,gujarat,5.0,geography
-MjxNEvHUFw,rollerpaint,8.0,instrument
-N-gNuk_5PQ_1,unencumbered,8.0,banking
-NAB02gnpgo,polo shrit,6.0,wearable
-NCwiz-skM0_1,lame,7.0,biology
-NIz596Y27Q,severally,7.0,quantity
-NQKa7Pmhx4,nine,4.0,math
-NXGOOSb2sk,increase,5.0,comparator
-NpA8OS_Oj0_1,tennis,6.0,sport
-Oq_e89164c_1,deer,7.0,flora and fauna
-PFwmd8NQgI_1,fixed rate,7.0,banking
-PGXFLhDfS0_1,teacher,6.0,profession
-QF3_AuexYY,yolk,8.0,foods and drinks
-R02rqkyxHc_1,can,6.0,attribute
-RTVD5tM__A_1,hot,6.0,sensation
-SVSp2VtfRw_1,tired,7.0,sensation
-Sbg5dqo9cQ_1,undertaking,10.0,legal
-Tfg5XTzi0c_1,complaint,7.0,process
-UjDGBnJuQE,basic,5.0,quality
-V3IfRctpxQ_1,kilometer,7.0,metric
-VvuJx-TroA_1,day after,6.0,time
-W13ICFg13E,calendar year,12.0,time
-WuiIyEI6JU_1,prospectus,7.0,utility item
-XHIq_olkt0,ripe,5.0,quality
-ZJNHmctH-g_2,neutral,10.0,physics
-_axtLgdFao_1,diaeases,8.0,medical
-_ecaCc5kEM_1,par - above,8.0,comparator
-_ozohdfbV0,arrest,3.0,legal
-ayQ9-eEVPk,rafter,15.0,construction
-bUi5WuO58M_1,negligence,9.0,attribute
-cw3ySwZG-0_1,trouble,7.0,stage
-erR2LqPMDo_1,insects,7.0,flora and fauna
-i21y0g32n8,family tree,14.0,group
-i5XH3VNyZc_1,cobbler,7.0,profession
-j9UB4-TMdw,blouse,6.0,wearable
-js9xT4ze2M_1,difference,8.0,comparator
-kAnMQUsNqY,cancel,5.0,action
-kNkN1zSAfc,sometimes,4.0,abstract
-mGXVBz8pfs_1,criticize,6.0,action
-nITY8LhYgc,iron,5.0,metal and minerals
-ntsKq84BZI_2,statlonary wave,10.0,physics
-oJL0D3n2e0,best,3.0,quality
-oLpcbfuNIc_2,speclfic heat,8.0,physics
-oy6L89CeWU_1,cry,7.0,behavior
-p-Uj-p_Gso,see you tomorrow,4.0,greeting
-pH80nLq8FY,table tennis,5.0,sport
-pOaEEbLhEY_1,invent,6.0,process
-pc9BOR8QtA,panaji,4.0,geography
-qAGBp1JAh4_1,ruler,6.0,utility item
-qEvxlqG6xs_1,taxable,9.0,legal
-qhN2FaYkUc,anonymous,4.0,abstract
-qzWfnV26kw_1,with,6.0,abstract
-rahbCV2Pp4,understand,4.0,action
-rwYVwVdHns_1,trust deed,8.0,banking
-s7h4Re7Atk_1,residence,9.0,construction
-syzD8b7Uog,fork,5.0,utility item
-tXNpnzr08M,hack saw blade,7.0,instrument
-vcgtHff_po,motivate,4.0,action
-wpVNpcGvFk,yellow flowered plants,11.0,attribute
-x6DzWY7lmk,united nations,5.0,organisation
-x6oHEcUExQ,subtract,4.0,math
-xNmG6y1-9E,air vistara,6.0,transport
-y-dWznF2js_1,rough,7.0,sensation
0-pxIcGvk3w,brown,7.0,attribute
01THMylW6Mw,lok janshakti party,4.0,politics
01UZKDp47Ao_1,boil,6.0,action
039-5dIML0I_2,depth,9.0,attribute
03N4I9dc3RQ_1,spendthrift,7.0,action
03UqtTd9opc,pani puri,5.0,foods and drinks
04qLwQo-2MM,what is your name,4.0,abstract
06C4S0EBhBg_1,average,9.0,math
06FBQEEqthQ_1,seizure,10.0,medical
06lnhzFJMgo,idle talk,4.0,process
07jCt4FqQxY,method,5.0,math
08z_-ESgSP0,bucket,5.0,utility item
09G-3IZyKrI_1,judge,6.0,authority
09qovLrSjow_1,whale,8.0,flora and fauna
0AH93vop9YA_1,frock,8.0,wearable
0AUmueBrflo,notesheet,5.0,utility item
0AW9acHJhNI,bharatiya janata party,3.0,politics
0BC8wWXW_wc,driver,5.0,profession
0BOyMqB1KUQ_1,accommodation,11.0,construction
0C-nMsdpftw,designer,11.0,profession
0CUyYc1R3OA,colombia,4.0,geography
0CvaaVM5mNs,leaders,14.0,authority
0DYb-qL1t0A,tomorrow,3.0,time
0DYcaZmhlkY,weather,7.0,weather
0E2yd3OjjsU,movie,4.0,entertainment
0EQEGldp9YA_1,footpath,7.0,construction
0ETSwMTLaac_2,attractive force,9.0,physics
0F7sYNf4uxU,put,4.0,action
0FHckg-WrEo,diving,5.0,sport
0F_szwrQs1g_2,artificial,8.0,abstract
0G7Xo4NN4fk,polisher,14.0,profession
0GYeM3IGjn8_1,school bus,6.0,transport
0HNvZZloffc_1,light,6.0,quantity
0IF3Nx6idPQ_1,zonal,9.0,geography
0IQ02IKMzUk_1,torch,7.0,electronic and electrical
0IhvPwnhGOg,national capital region,5.0,geography
0JIsxA88oss_2,grey,9.0,colour
0Kcn-1OPd84,reverse,3.0,abstract
0KeSJQiRAgo_1,coolie,6.0,profession
0LXJqXx8dVU,sari,4.0,wearable
0N47JPzl2Ow_1,adjustment,11.0,metric
0NMbSbEZ7G8_1,disappear,5.0,action
0NPpa4rNMoI_1,input,8.0,process
0NUyw07V03g,promotion,4.0,organisation
0O7xxbvMct0,institution,7.0,organisation
0OMlCdUKFSg,backdoor,4.0,miscellaneous object
0OxY1muGJhc,godet,14.0,wearable
0PKQWh0-C8o,slip,4.0,action
0PQM_cS1Jyg_1,funny,7.0,sensation
0PwKF0pTwpg,receipt,6.0,banking
0QITb6bNnHc,hearing,4.0,sound
0Qk8-_ZEmHM_2,precaution,7.0,abstract
0R6qq874H4c,propeller pump,15.0,instrument
0REGTy6eqSc,team,4.0,group
0RIpHMSqV4c,bank of maharashtra,4.0,banking
0RiCicL3Zg8_1,interest,9.0,banking
0RlsG9iQ6rk_1,window dressing,8.0,banking
0TGJCFJv2iU,mahavir jayanti,4.0,event
0ThvAhpHsDM,squirrel,4.0,flora and fauna
0UyMbBSxbM4,minority,4.0,group
0VSRJo2xZfI,breeds of poultry,11.0,flora and fauna
0VvmrIYSsR0_1,marth,6.0,human
0Xhmme0IrvU,mature,13.0,behavior
0YIk1iTjDVY_1,monday,6.0,time
