uid,gloss,duration,category,video_path,official_partition
0YIk1iTjDVY_1,monday,6.0,time,CISLR_v1.5-a_videos/0YIk1iTjDVY_1.mp4,prototype
UXoDCHd7VuQ_1,monday,5.0,time,CISLR_v1.5-a_videos/UXoDCHd7VuQ_1.mp4,test
SULzv6BHjHs_1,monday,5.0,time,CISLR_v1.5-a_videos/SULzv6BHjHs_1.mp4,test
4SlMtTeUkEE_1,monday,5.0,time,CISLR_v1.5-a_videos/4SlMtTeUkEE_1.mp4,test
0q7mwfrGneM_1,monday,5.0,time,CISLR_v1.5-a_videos/0q7mwfrGneM_1.mp4,test
qjgThWSsOVk_1,monday,6.0,time,CISLR_v1.5-a_videos/qjgThWSsOVk_1.mp4,test
R1jaD2vHFNY_1,monday,5.0,time,CISLR_v1.5-a_videos/R1jaD2vHFNY_1.mp4,test
UK-aS_5scz4_1,monday,5.0,time,CISLR_v1.5-a_videos/UK-aS_5scz4_1.mp4,test
WBIjeM1OYEQ_1,monday,5.0,time,CISLR_v1.5-a_videos/WBIjeM1OYEQ_1.mp4,test
52TTzIUKAAI,monday,4.0,time,CISLR_v1.5-a_videos/52TTzIUKAAI.mp4,test
SojDDNUsSew_1,monday,6.0,time,CISLR_v1.5-a_videos/SojDDNUsSew_1.mp4,test
ca4NtqH_cx0_1,thursday,5.0,time,CISLR_v1.5-a_videos/ca4NtqH_cx0_1.mp4,test
sjpTILsokjg_1,thursday,5.0,time,CISLR_v1.5-a_videos/sjpTILsokjg_1.mp4,test
WdZpExRajmQ_1,thursday,5.0,time,CISLR_v1.5-a_videos/WdZpExRajmQ_1.mp4,test
6RFwCF9xelU_1,thursday,7.0,time,CISLR_v1.5-a_videos/6RFwCF9xelU_1.mp4,test
Y6FhOnbO6UI_1,thursday,6.0,time,CISLR_v1.5-a_videos/Y6FhOnbO6UI_1.mp4,test
ZuEwvrlmnyw_1,thursday,6.0,time,CISLR_v1.5-a_videos/ZuEwvrlmnyw_1.mp4,test
IuIV6N8k4Ik_1,thursday,6.0,time,CISLR_v1.5-a_videos/IuIV6N8k4Ik_1.mp4,test
w3iXbhc5vsM_1,thursday,7.0,time,CISLR_v1.5-a_videos/w3iXbhc5vsM_1.mp4,test
iKNbZ_6pB5c,thursday,3.0,time,CISLR_v1.5-a_videos/iKNbZ_6pB5c.mp4,test
syK7APT1R4w,interest,5.0,behavior,CISLR_v1.5-a_videos/syK7APT1R4w.mp4,test
jMWvOjMUjYk_1,interest,7.0,behavior,CISLR_v1.5-a_videos/jMWvOjMUjYk_1.mp4,test
tx2Z3baCxLA_1,interest,7.0,behavior,CISLR_v1.5-a_videos/tx2Z3baCxLA_1.mp4,test
RlC8ZTPuOBU_1,interest,7.0,behavior,CISLR_v1.5-a_videos/RlC8ZTPuOBU_1.mp4,test
10KuxOH6cYM_1,interest,7.0,behavior,CISLR_v1.5-a_videos/10KuxOH6cYM_1.mp4,test
7kHhJbwb-xg,interest,5.0,banking,CISLR_v1.5-a_videos/7kHhJbwb-xg.mp4,test
0RiCicL3Zg8_1,interest,9.0,banking,CISLR_v1.5-a_videos/0RiCicL3Zg8_1.mp4,prototype
IOaZtwg1czk_1,interest,12.0,banking,CISLR_v1.5-a_videos/IOaZtwg1czk_1.mp4,test
SFP1Y49gip0_1,friday,6.0,time,CISLR_v1.5-a_videos/SFP1Y49gip0_1.mp4,test
zmcws5FplEc_1,friday,5.0,time,CISLR_v1.5-a_videos/zmcws5FplEc_1.mp4,test
7ChtWi4wz8E_1,friday,6.0,time,CISLR_v1.5-a_videos/7ChtWi4wz8E_1.mp4,prototype
j_ERp4-Cqbg_1,friday,5.0,time,CISLR_v1.5-a_videos/j_ERp4-Cqbg_1.mp4,test
b_lBAwm-AC4_1,friday,5.0,time,CISLR_v1.5-a_videos/b_lBAwm-AC4_1.mp4,test
RaT4rhSnixI_1,friday,5.0,time,CISLR_v1.5-a_videos/RaT4rhSnixI_1.mp4,test
IOS2_Xy4yg0,friday,5.0,time,CISLR_v1.5-a_videos/IOS2_Xy4yg0.mp4,test
b8uuqEIu8Ag,pencil,4.0,utility item,CISLR_v1.5-a_videos/b8uuqEIu8Ag.mp4,test
z1VPeFV_ew4,pencil,3.0,utility item,CISLR_v1.5-a_videos/z1VPeFV_ew4.mp4,test
EbmFC4EitxU,pencil,3.0,utility item,CISLR_v1.5-a_videos/EbmFC4EitxU.mp4,test
0p_iET-2TRw,pencil,4.0,utility item,CISLR_v1.5-a_videos/0p_iET-2TRw.mp4,test
-C18cQCkCcw,pencil,4.0,utility item,CISLR_v1.5-a_videos/-C18cQCkCcw.mp4,prototype
GQaw-x-oXM0,pencil,4.0,utility item,CISLR_v1.5-a_videos/GQaw-x-oXM0.mp4,test
gzjPlKC1r-w_1,pencil,6.0,utility item,CISLR_v1.5-a_videos/gzjPlKC1r-w_1.mp4,test
