epoch,train_accuracy,train_macro_f1,train_weighted_f1,train_precision_macro,train_recall_macro,train_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_precision_macro,val_recall_macro,val_loss
0,0.2619047619047619,0.08301886792452831,0.10871518418688231,0.05238095238095238,0.2,1.605743680681501,0.2,0.06666666666666667,0.06666666666666667,0.04,0.2,1.639015793800354
1,0.2619047619047619,0.08461538461538462,0.11080586080586081,0.05365853658536586,0.2,1.5851905686514718,0.2,0.06666666666666667,0.06666666666666667,0.04,0.2,1.6381562948226929
2,0.2857142857142857,0.12905982905982905,0.15313390313390313,0.25365853658536586,0.225,1.5627936862763905,0.2,0.06666666666666667,0.06666666666666667,0.04,0.2,1.648029088973999
3,0.2857142857142857,0.12905982905982905,0.15313390313390313,0.25365853658536586,0.225,1.5424065135774159,0.2,0.08,0.08,0.05,0.2,1.6706922054290771
4,0.3333333333333333,0.18979591836734694,0.21282798833819241,0.20789473684210527,0.275,1.5063640957786923,0.2,0.08,0.08,0.05,0.2,1.7128136157989502
5,0.35714285714285715,0.21474358974358973,0.23725579975579975,0.2194594594594595,0.3,1.466687866619655,0.2,0.08,0.08,0.05,0.2,1.8147776126861572
6,0.38095238095238093,0.23647416413373862,0.2586481401071066,0.22777777777777777,0.325,1.4022947720118932,0.0,0.0,0.0,0.0,0.0,1.9924319982528687
7,0.35714285714285715,0.21203007518796993,0.2325456498388829,0.16715542521994134,0.31363636363636366,1.3444345678601946,0.0,0.0,0.0,0.0,0.0,2.251887559890747
8,0.35714285714285715,0.21203007518796993,0.2325456498388829,0.16715542521994134,0.31363636363636366,1.288996798651559,0.0,0.0,0.0,0.0,0.0,2.416189193725586
9,0.38095238095238093,0.2341997264021888,0.25626994984040125,0.19583333333333333,0.33181818181818185,1.2854197536196028,0.0,0.0,0.0,0.0,0.0,2.550741195678711
